Admin2,state,9/30/20,10/31/20,POPESTIMATE2019
Autauga,alabama,27,31,55869.0
Baldwin,alabama,52,71,223234.0
Barbour,alabama,7,9,24686.0
Bibb,alabama,11,15,22394.0
Blount,alabama,15,25,57826.0
Bullock,alabama,15,17,10101.0
Butler,alabama,40,41,19448.0
Calhoun,alabama,44,65,113605.0
Chambers,alabama,42,47,33254.0
Cherokee,alabama,13,15,26196.0
Chilton,alabama,30,33,44428.0
Choctaw,alabama,12,12,12589.0
Clarke,alabama,16,17,23622.0
Clay,alabama,9,12,13235.0
Cleburne,alabama,5,9,14910.0
Coffee,alabama,6,11,52342.0
Colbert,alabama,26,32,55241.0
Conecuh,alabama,11,13,12067.0
Coosa,alabama,3,3,10663.0
Covington,alabama,28,30,37049.0
Crenshaw,alabama,32,30,13772.0
Cullman,alabama,20,25,83768.0
Dale,alabama,44,52,49172.0
Dallas,alabama,26,27,37196.0
DeKalb,alabama,21,30,71513.0
Elmore,alabama,48,59,81209.0
Escambia,alabama,24,31,36633.0
Etowah,alabama,45,54,102268.0
Fayette,alabama,11,14,16302.0
Franklin,alabama,30,32,31362.0
Geneva,alabama,5,7,26271.0
Greene,alabama,15,17,8111.0
Hale,alabama,28,30,14651.0
Henry,alabama,5,6,17205.0
Houston,alabama,21,35,105882.0
Jackson,alabama,12,19,51626.0
Jefferson,alabama,352,384,658573.0
Lamar,alabama,2,6,13805.0
Lauderdale,alabama,34,43,92729.0
Lawrence,alabama,25,33,32924.0
Lee,alabama,61,65,164542.0
Limestone,alabama,20,34,98915.0
Lowndes,alabama,27,29,9726.0
Macon,alabama,18,21,18068.0
Madison,alabama,80,101,372909.0
Marengo,alabama,20,23,18863.0
Marion,alabama,29,31,29709.0
Marshall,alabama,45,52,96774.0
Mobile,alabama,295,320,413210.0
Monroe,alabama,8,10,20733.0
Montgomery,alabama,187,210,226486.0
Morgan,alabama,29,36,119679.0
Out of AL,alabama,0,0,
Perry,alabama,6,6,8923.0
Pickens,alabama,15,18,19930.0
Pike,alabama,11,14,33114.0
Randolph,alabama,13,16,22722.0
Russell,alabama,3,3,57961.0
Shelby,alabama,50,70,217702.0
St. Clair,alabama,37,43,89512.0
Sumter,alabama,19,21,12427.0
Talladega,alabama,30,38,79978.0
Tallapoosa,alabama,85,87,40367.0
Tuscaloosa,alabama,118,145,209355.0
Unassigned,alabama,0,0,
Walker,alabama,87,95,63521.0
Washington,alabama,12,12,16326.0
Wilcox,alabama,11,12,10373.0
Winston,alabama,12,13,23629.0
,american samoa,0,0,
Arkansas,arkansas,9,16,17486.0
Ashley,arkansas,10,11,19657.0
Baxter,arkansas,2,11,41932.0
Benton,arkansas,93,123,279141.0
Boone,arkansas,13,35,37432.0
Bradley,arkansas,8,8,10763.0
Calhoun,arkansas,0,0,5189.0
Carroll,arkansas,10,17,28380.0
Chicot,arkansas,22,23,10118.0
Clark,arkansas,4,5,22320.0
Clay,arkansas,8,13,14551.0
Cleburne,arkansas,9,15,24919.0
Cleveland,arkansas,12,13,7956.0
Columbia,arkansas,18,21,23457.0
Conway,arkansas,3,3,20846.0
Craighead,arkansas,22,48,110332.0
Crawford,arkansas,16,29,63257.0
Crittenden,arkansas,46,53,47955.0
Cross,arkansas,13,22,16419.0
Dallas,arkansas,5,6,7009.0
Desha,arkansas,6,7,11361.0
Drew,arkansas,7,7,18219.0
Faulkner,arkansas,20,38,126007.0
Franklin,arkansas,2,2,17715.0
Fulton,arkansas,4,10,12477.0
Garland,arkansas,53,68,99386.0
Grant,arkansas,2,4,18265.0
Greene,arkansas,10,20,45325.0
Hempstead,arkansas,4,5,21532.0
Hot Spring,arkansas,27,37,33771.0
Howard,arkansas,12,14,13202.0
Independence,arkansas,21,57,37825.0
Izard,arkansas,0,2,13629.0
Jackson,arkansas,1,6,16719.0
Jefferson,arkansas,79,102,66824.0
Johnson,arkansas,7,8,26578.0
Lafayette,arkansas,2,3,6624.0
Lawrence,arkansas,12,20,16406.0
Lee,arkansas,18,18,8857.0
Lincoln,arkansas,15,18,13024.0
Little River,arkansas,26,37,12259.0
Logan,arkansas,1,5,21466.0
Lonoke,arkansas,17,30,73309.0
Madison,arkansas,3,6,16576.0
Marion,arkansas,0,2,16694.0
Miller,arkansas,11,21,43257.0
Mississippi,arkansas,51,69,40651.0
Monroe,arkansas,0,2,6701.0
Montgomery,arkansas,6,8,8986.0
Nevada,arkansas,13,14,8252.0
Newton,arkansas,19,20,7753.0
Ouachita,arkansas,6,9,23382.0
Out of AR,arkansas,0,0,
Perry,arkansas,0,1,10455.0
Phillips,arkansas,12,16,17782.0
Pike,arkansas,3,1,10718.0
Poinsett,arkansas,14,21,23528.0
Polk,arkansas,4,5,19964.0
Pope,arkansas,33,37,64072.0
Prairie,arkansas,2,4,8062.0
Pulaski,arkansas,153,216,391911.0
Randolph,arkansas,22,25,17958.0
Saline,arkansas,23,33,122437.0
Scott,arkansas,1,1,10281.0
Searcy,arkansas,1,1,7881.0
Sebastian,arkansas,61,96,127827.0
Sevier,arkansas,18,16,17007.0
Sharp,arkansas,6,10,17442.0
St. Francis,arkansas,6,10,24994.0
Stone,arkansas,13,21,12506.0
Unassigned,arkansas,0,0,
Union,arkansas,40,50,38682.0
Van Buren,arkansas,3,3,16545.0
Washington,arkansas,118,153,239187.0
White,arkansas,29,33,78753.0
Woodruff,arkansas,0,0,6320.0
Yell,arkansas,29,31,21341.0
Alameda,california,412,464,1671329.0
Alpine,california,0,0,1129.0
Amador,california,16,16,39752.0
Butte,california,44,53,219186.0
Calaveras,california,14,21,45905.0
Colusa,california,6,6,21547.0
Contra Costa,california,207,246,1153526.0
Del Norte,california,1,1,27812.0
