Admin2,state,9/30/20,10/31/20,POPESTIMATE2019
Aleutians East,alaska,0,0,3337.0
Aleutians West,alaska,0,0,5634.0
Anchorage,alaska,35,50,288000.0
Bethel,alaska,1,1,18386.0
Bristol Bay,alaska,0,0,836.0
Bristol Bay plus Lake and Peninsula,alaska,0,0,1592.0
Denali,alaska,0,0,2097.0
Dillingham,alaska,0,0,4916.0
Fairbanks North Star,alaska,11,15,96849.0
Haines,alaska,0,0,2530.0
Hoonah-Angoon,alaska,0,0,2148.0
Juneau,alaska,1,3,31974.0
Kenai Peninsula,alaska,3,4,58708.0
Ketchikan Gateway,alaska,0,0,13901.0
Kodiak Island,alaska,0,0,12998.0
Kusilvak,alaska,0,0,8314.0
Matanuska-Susitna,alaska,2,3,108317.0
Nome,alaska,0,0,10004.0
North Slope,alaska,0,0,9832.0
Northwest Arctic,alaska,0,0,7621.0
Out of AK,alaska,0,0,
Petersburg,alaska,1,1,3266.0
Prince of Wales-Hyder,alaska,0,1,6203.0
Sitka,alaska,0,0,8493.0
Skagway,alaska,0,0,1183.0
Southeast Fairbanks,alaska,0,1,6893.0
Unassigned,alaska,0,0,
Valdez-Cordova,alaska,0,1,9202.0
Wrangell,alaska,0,0,2502.0
Yakutat,alaska,0,0,579.0
Yukon-Koyukuk,alaska,2,2,5230.0
Apache,arizona,165,171,71887.0
Cochise,arizona,72,75,125922.0
Coconino,arizona,144,149,143476.0
Gila,arizona,56,72,54018.0
Graham,arizona,25,29,38837.0
Greenlee,arizona,1,1,9498.0
La Paz,arizona,15,17,21108.0
Maricopa,arizona,3392,3606,4485414.0
Mohave,arizona,226,234,212181.0
Navajo,arizona,235,241,110924.0
Out of AZ,arizona,0,0,
Pima,arizona,620,641,1047279.0
Pinal,arizona,208,228,462789.0
Santa Cruz,arizona,63,65,46498.0
Unassigned,arizona,1,1,
Yavapai,arizona,82,91,235099.0
Yuma,arizona,345,358,213787.0
Alachua,florida,60,76,269043.0
Baker,florida,13,23,29210.0
Bay,florida,108,134,174705.0
Bradford,florida,9,15,28201.0
Brevard,florida,298,375,601942.0
Broward,florida,1396,1523,1952778.0
Calhoun,florida,11,14,14105.0
Charlotte,florida,136,159,188910.0
Citrus,florida,106,135,149657.0
Clay,florida,100,127,219252.0
Collier,florida,221,256,384902.0
Columbia,florida,58,79,71686.0
DeSoto,florida,25,29,38001.0
Dixie,florida,9,11,16826.0
Duval,florida,394,523,957755.0
Escambia,florida,235,272,318316.0
